Member_number,Date,itemDescription,category
4156,19-08-2014,whole milk,Dairy
4264,16-03-2014,yogurt,Dairy
1732,03-04-2014,flour,Dry Goods
1161,26-01-2014,bottled beer,Uncategorized
4058,07-02-2014,berries,Uncategorized
4183,08-10-2014,salty snack,Snacks
4371,29-03-2014,specialty chocolate,Snacks
3218,06-01-2014,waffles,Uncategorized
3094,02-07-2014,soda,Beverages
2082,10-10-2014,rolls/buns,Bakery
3015,31-01-2014,margarine,Uncategorized
4582,22-06-2014,root vegetables,Vegetables
4851,20-05-2014,chocolate,Snacks
3766,20-02-2014,rolls/buns,Bakery
4199,05-04-2014,curd,Uncategorized
3663,28-08-2014,sugar,Dry Goods
2044,17-03-2014,whole milk,Dairy
1566,30-01-2014,bottled beer,Uncategorized
3698,22-09-2014,domestic eggs,Uncategorized
3815,30-01-2014,rolls/buns,Bakery
4634,10-05-2014,specialty chocolate,Snacks
2051,03-12-2014,newspapers,Uncategorized
2252,17-12-2014,shopping bags,Uncategorized
4502,04-06-2014,frozen vegetables,Vegetables
2169,25-06-2014,bottled beer,Uncategorized
3237,07-08-2014,sweet spreads,Uncategorized
1999,31-05-2014,dog food,Pet Supplies
2175,02-11-2014,butter,Dairy
4177,05-02-2014,yogurt,Dairy
2014,08-08-2014,soft cheese,Dairy
2991,22-04-2014,shopping bags,Uncategorized
3334,09-01-2014,liquor (appetizer),Pet Supplies
1580,24-02-2014,sliced cheese,Dairy
4094,14-07-2014,fruit/vegetable juice,Fruits
4163,05-11-2014,newspapers,Uncategorized
2991,01-03-2014,waffles,Uncategorized
4744,23-12-2014,salty snack,Snacks
3896,02-04-2014,misc. beverages,Uncategorized
2560,19-04-2014,specialty bar,Snacks
2236,07-01-2014,candy,Uncategorized
2778,29-06-2014,other vegetables,Vegetables
3960,14-05-2014,margarine,Uncategorized
2258,21-01-2014,ice cream,Dairy
4286,22-11-2014,yogurt,Dairy
2239,23-11-2014,soda,Beverages
4728,11-06-2014,instant coffee,Beverages
3439,28-03-2014,female sanitary products,Uncategorized
3353,13-07-2014,sliced cheese,Dairy
2127,19-11-2014,specialty cheese,Dairy
1513,29-05-2014,bottled beer,Uncategorized
1134,11-05-2014,yogurt,Dairy
1286,26-04-2014,pickled vegetables,Vegetables
1123,09-08-2014,yogurt,Dairy
4327,05-08-2014,frozen vegetables,Vegetables
4814,01-12-2014,other vegetables,Vegetables
3277,28-08-2014,hygiene articles,Uncategorized
4272,06-05-2014,whole milk,Dairy
3363,06-08-2014,salty snack,Snacks
1896,16-12-2014,light bulbs,Uncategorized
2524,13-10-2014,whole milk,Dairy
4243,02-07-2014,white wine,Uncategorized
4930,13-08-2014,dessert,Uncategorized
3465,27-01-2014,long life bakery product,Uncategorized
3938,16-08-2014,cereals,Breakfast & Cereal
2849,11-02-2014,newspapers,Uncategorized
1894,19-08-2014,cream cheese ,Dairy
2738,11-02-2014,frozen meals,Frozen
1000,24-06-2014,salty snack,Snacks
2626,14-02-2014,other vegetables,Vegetables
4216,17-11-2014,light bulbs,Uncategorized
1810,09-06-2014,baking powder,Uncategorized
1125,30-05-2014,rolls/buns,Bakery
4392,10-07-2014,whipped/sour cream,Dairy
3957,19-07-2014,cake bar,Bakery
4084,28-09-2014,curd,Uncategorized
3672,19-06-2014,margarine,Uncategorized
3531,18-03-2014,napkins,Uncategorized
2066,05-02-2014,pickled vegetables,Vegetables
4376,23-07-2014,yogurt,Dairy
1662,27-01-2014,fruit/vegetable juice,Fruits
3728,17-06-2014,whipped/sour cream,Dairy
2045,02-04-2014,soft cheese,Dairy
2067,05-04-2014,yogurt,Dairy
3743,16-10-2014,brown bread,Bakery
1735,22-04-2014,candy,Uncategorized
1547,07-07-2014,cling film/bags,Uncategorized
2451,26-02-2014,bottled water,Beverages
1661,02-03-2014,whipped/sour cream,Dairy
2365,29-11-2014,misc. beverages,Uncategorized
4932,14-05-2014,brown bread,Bakery
2310,31-10-2014,root vegetables,Vegetables
2138,03-11-2014,brown bread,Bakery
2903,08-05-2014,sugar,Dry Goods
1512,03-06-2014,yogurt,Dairy
3204,16-12-2014,frozen fish,Seafood
3324,10-11-2014,coffee,Beverages
1653,29-05-2014,margarine,Uncategorized
1428,23-08-2014,UHT-milk,Dairy
4598,05-11-2014,pickled vegetables,Vegetables
3062,09-07-2014,baking powder,Uncategorized
4681,13-01-2014,bottled water,Beverages
4671,13-08-2014,soda,Beverages
4533,13-04-2014,curd,Uncategorized
2579,12-12-2014,cream cheese ,Dairy
3493,09-02-2014,canned beer,Canned Goods
1450,04-02-2014,pickled vegetables,Vegetables
1961,06-04-2014,frozen vegetables,Vegetables
4302,07-10-2014,sparkling wine,Uncategorized
3950,22-01-2014,cat food,Pet Supplies
2718,09-02-2014,whole milk,Dairy
1870,01-02-2014,fruit/vegetable juice,Fruits
3855,07-05-2014,specialty chocolate,Snacks
4107,03-06-2014,whipped/sour cream,Dairy
3476,05-07-2014,white bread,Bakery
4721,01-05-2014,cream cheese ,Dairy
3208,20-09-2014,long life bakery product,Uncategorized
4349,11-08-2014,cream cheese ,Dairy
1378,10-12-2014,UHT-milk,Dairy
4929,27-06-2014,dessert,Uncategorized
3186,24-04-2014,misc. beverages,Uncategorized
1482,24-09-2014,mayonnaise,Condiments
1145,13-09-2014,bottled beer,Uncategorized
2777,14-09-2014,chocolate,Snacks
1232,08-08-2014,pasta,Grains & Pasta
2825,21-04-2014,mustard,Condiments
3785,13-02-2014,fruit/vegetable juice,Fruits
3000,22-08-2014,fruit/vegetable juice,Fruits
1980,17-07-2014,salty snack,Snacks
2154,24-09-2014,soda,Beverages
1242,16-12-2014,butter,Dairy
1824,28-11-2014,newspapers,Uncategorized
2774,28-06-2014,whole milk,Dairy
2366,11-10-2014,other vegetables,Vegetables
1987,26-12-2014,chocolate,Snacks
2306,07-05-2014,bottled water,Beverages
4979,28-02-2014,beverages,Uncategorized
4543,29-06-2014,curd,Uncategorized
4021,23-04-2014,newspapers,Uncategorized
4623,19-11-2014,cat food,Pet Supplies
4547,07-09-2014,napkins,Uncategorized
2729,22-08-2014,whole milk,Dairy
4471,13-04-2014,pet care,Pet Supplies
1625,24-12-2014,frozen meals,Frozen
2787,30-09-2014,margarine,Uncategorized
4541,06-07-2014,margarine,Uncategorized
3529,26-02-2014,pastry,Bakery
2984,22-04-2014,canned beer,Canned Goods
1685,18-10-2014,whole milk,Dairy
4520,23-03-2014,pastry,Bakery
2355,15-01-2014,chocolate,Snacks
3883,05-03-2014,UHT-milk,Dairy
4922,12-07-2014,margarine,Uncategorized
3423,16-07-2014,whipped/sour cream,Dairy
1129,21-12-2014,cream cheese ,Dairy
4018,21-02-2014,newspapers,Uncategorized
3189,01-07-2014,dish cleaner,Household
1235,01-11-2014,bottled water,Beverages
2262,06-10-2014,domestic eggs,Uncategorized
4100,23-04-2014,whole milk,Dairy
1553,05-09-2014,baking powder,Uncategorized
3628,01-08-2014,nut snack,Snacks
2280,11-12-2014,candles,Uncategorized
4236,13-05-2014,napkins,Uncategorized
1358,15-12-2014,whipped/sour cream,Dairy
4638,11-10-2014,whipped/sour cream,Dairy
1343,27-11-2014,fruit/vegetable juice,Fruits
3612,16-02-2014,flour,Dry Goods
4596,19-02-2014,soda,Beverages
2399,26-03-2014,napkins,Uncategorized
3300,10-07-2014,rolls/buns,Bakery
3502,14-02-2014,coffee,Beverages
1127,06-02-2014,soda,Beverages
1296,19-05-2014,soft cheese,Dairy
3739,12-01-2014,red/blush wine,Uncategorized
4661,15-02-2014,cream cheese ,Dairy
3287,23-04-2014,napkins,Uncategorized
4746,02-01-2014,margarine,Uncategorized
4282,20-06-2014,baking powder,Uncategorized
3757,07-04-2014,dessert,Uncategorized
3279,09-10-2014,soda,Beverages
3387,22-09-2014,shopping bags,Uncategorized
2553,26-12-2014,bottled water,Beverages
3697,11-02-2014,other vegetables,Vegetables
1819,22-12-2014,coffee,Beverages
2607,25-01-2014,margarine,Uncategorized
2615,29-05-2014,chocolate,Snacks
1196,15-08-2014,domestic eggs,Uncategorized
2926,16-06-2014,domestic eggs,Uncategorized
2294,08-01-2014,sugar,Dry Goods
4967,22-04-2014,rolls/buns,Bakery
1284,01-09-2014,salty snack,Snacks
2089,03-05-2014,pastry,Bakery
1284,26-06-2014,margarine,Uncategorized
1246,03-03-2014,whipped/sour cream,Dairy
3038,18-04-2014,pot plants,Uncategorized
2910,28-03-2014,other vegetables,Vegetables
3957,01-09-2014,salty snack,Snacks
4493,16-03-2014,whipped/sour cream,Dairy
1972,02-05-2014,bottled beer,Uncategorized
2492,10-03-2014,instant coffee,Beverages
2943,11-09-2014,chocolate marshmallow,Snacks
2686,20-12-2014,ready soups,Canned Goods
3968,05-11-2014,bottled beer,Uncategorized
1955,03-06-2014,shopping bags,Uncategorized
2665,11-10-2014,chocolate marshmallow,Snacks
3850,27-03-2014,cling film/bags,Uncategorized
2973,31-10-2014,domestic eggs,Uncategorized
3264,27-06-2014,white bread,Bakery
1591,15-01-2014,frozen meals,Frozen
1747,07-09-2014,roll products ,Uncategorized
1255,26-09-2014,soda,Beverages
4683,17-09-2014,specialty bar,Snacks
1102,13-04-2014,candy,Uncategorized
4618,18-11-2014,other vegetables,Vegetables
2508,28-05-2014,frozen vegetables,Vegetables
4165,03-04-2014,hard cheese,Dairy
2168,06-10-2014,fruit/vegetable juice,Fruits
2929,22-10-2014,cleaner,Household
1316,17-01-2014,rolls/buns,Bakery
3991,03-07-2014,kitchen towels,Uncategorized
2142,27-08-2014,waffles,Uncategorized
4671,22-10-2014,house keeping products,Uncategorized
1051,26-12-2014,shopping bags,Uncategorized
1410,24-06-2014,whipped/sour cream,Dairy
3752,25-11-2014,dish cleaner,Household
1054,16-01-2014,soda,Beverages
2591,01-09-2014,soda,Beverages
2454,22-07-2014,soda,Beverages
2510,20-04-2014,margarine,Uncategorized
1946,29-04-2014,cooking chocolate,Snacks
4069,04-08-2014,baking powder,Uncategorized
2778,09-05-2014,domestic eggs,Uncategorized
1175,20-09-2014,pasta,Grains & Pasta
4292,19-01-2014,whipped/sour cream,Dairy
3776,16-03-2014,dishes,Uncategorized
2573,08-05-2014,long life bakery product,Uncategorized
2510,23-06-2014,chocolate,Snacks
1003,19-01-2014,frozen meals,Frozen
4699,21-07-2014,coffee,Beverages
3189,28-10-2014,rolls/buns,Bakery
4406,06-04-2014,hard cheese,Dairy
2325,20-01-2014,whole milk,Dairy
4069,10-08-2014,pickled vegetables,Vegetables
1726,15-05-2014,pastry,Bakery
3026,10-06-2014,chewing gum,Uncategorized
4015,02-05-2014,rolls/buns,Bakery
3260,30-12-2014,dish cleaner,Household
3890,21-12-2014,soda,Beverages
2237,10-10-2014,coffee,Beverages
2641,20-07-2014,soda,Beverages
2581,02-08-2014,canned beer,Canned Goods
2030,06-09-2014,shopping bags,Uncategorized
2024,21-07-2014,dessert,Uncategorized
1729,19-04-2014,newspapers,Uncategorized
2331,08-04-2014,tropical fruit,Fruits
1890,12-09-2014,roll products ,Uncategorized
4579,10-05-2014,butter,Dairy
3140,03-08-2014,salty snack,Snacks
4492,24-04-2014,brown bread,Bakery
3537,26-03-2014,coffee,Beverages
3581,23-10-2014,frozen meals,Frozen
4924,19-01-2014,pastry,Bakery
2589,11-04-2014,spices,Spices & Seasonings
3302,22-06-2014,hygiene articles,Uncategorized
4566,13-04-2014,white bread,Bakery
2758,30-01-2014,napkins,Uncategorized
4790,07-09-2014,candy,Uncategorized
4178,18-12-2014,bottled beer,Uncategorized
2051,01-05-2014,flour,Dry Goods
1647,20-11-2014,specialty chocolate,Snacks
2778,15-05-2014,soda,Beverages
1651,23-03-2014,soda,Beverages
3760,11-09-2014,yogurt,Dairy
4511,15-09-2014,soda,Beverages
4674,31-05-2014,bottled water,Beverages
3684,20-07-2014,napkins,Uncategorized
3094,26-06-2014,cream cheese ,Dairy
2726,02-08-2014,cream cheese ,Dairy
4897,25-11-2014,coffee,Beverages
3408,07-04-2014,root vegetables,Vegetables
4294,03-03-2014,domestic eggs,Uncategorized
4404,29-04-2014,root vegetables,Vegetables
3692,01-02-2014,frozen dessert,Frozen
2370,27-07-2014,chewing gum,Uncategorized
2137,25-04-2014,canned vegetables,Vegetables
4272,22-07-2014,pastry,Bakery
3042,11-07-2014,rolls/buns,Bakery
2974,02-09-2014,pastry,Bakery
1967,03-11-2014,fruit/vegetable juice,Fruits
1208,03-08-2014,soft cheese,Dairy
2436,27-11-2014,newspapers,Uncategorized
3379,10-12-2014,roll products ,Uncategorized
3148,25-10-2014,shopping bags,Uncategorized
2831,25-05-2014,fruit/vegetable juice,Fruits
1796,06-08-2014,chocolate,Snacks
4729,27-12-2014,shopping bags,Uncategorized
3308,05-11-2014,tea,Beverages
3848,04-01-2014,chocolate marshmallow,Snacks
1641,09-02-2014,cream cheese ,Dairy
1279,28-04-2014,pastry,Bakery
3495,03-09-2014,pastry,Bakery
4484,23-04-2014,shopping bags,Uncategorized
4578,13-08-2014,white bread,Bakery
1027,22-09-2014,rolls/buns,Bakery
2388,28-08-2014,salty snack,Snacks
4762,08-07-2014,pastry,Bakery
4687,13-06-2014,soda,Beverages
1965,02-01-2014,chewing gum,Uncategorized
3246,04-10-2014,yogurt,Dairy
2541,14-01-2014,soda,Beverages
4363,24-12-2014,long life bakery product,Uncategorized
4143,07-03-2014,mustard,Condiments
2038,04-02-2014,pastry,Bakery
1865,06-06-2014,bottled beer,Uncategorized
1003,27-02-2014,rolls/buns,Bakery
3358,09-09-2014,cream cheese ,Dairy
4782,30-10-2014,margarine,Uncategorized
4952,15-07-2014,sugar,Dry Goods
4042,26-07-2014,frozen dessert,Frozen
2907,02-09-2014,candy,Uncategorized
4693,29-03-2014,bottled beer,Uncategorized
1980,12-09-2014,domestic eggs,Uncategorized
4217,27-07-2014,dishes,Uncategorized
4106,21-09-2014,pastry,Bakery
4137,12-09-2014,shopping bags,Uncategorized
2862,02-06-2014,kitchen towels,Uncategorized
4115,07-05-2014,shopping bags,Uncategorized
3394,22-11-2014,yogurt,Dairy
2729,22-05-2014,soft cheese,Dairy
1949,18-10-2014,semi-finished bread,Bakery
4832,28-08-2014,shopping bags,Uncategorized
1276,07-06-2014,dessert,Uncategorized
3584,20-07-2014,frozen fish,Seafood
2958,17-12-2014,bottled water,Beverages
4061,04-07-2014,dish cleaner,Household
3568,13-08-2014,beverages,Uncategorized
1680,15-05-2014,pet care,Pet Supplies
1588,19-07-2014,root vegetables,Vegetables
2923,02-11-2014,yogurt,Dairy
4751,02-03-2014,butter,Dairy
1633,05-07-2014,ready soups,Canned Goods
2235,13-10-2014,frozen vegetables,Vegetables
1466,09-04-2014,rolls/buns,Bakery
3520,12-05-2014,sliced cheese,Dairy
3090,07-06-2014,newspapers,Uncategorized
2341,22-12-2014,rolls/buns,Bakery
2140,06-10-2014,whole milk,Dairy
1017,14-10-2014,brown bread,Bakery
2177,19-08-2014,soups,Canned Goods
3129,02-06-2014,coffee,Beverages
4299,21-10-2014,seasonal products,Uncategorized
1294,24-06-2014,white wine,Uncategorized
2851,16-01-2014,rolls/buns,Bakery
3948,08-04-2014,whipped/sour cream,Dairy
2047,28-04-2014,waffles,Uncategorized
1910,26-02-2014,margarine,Uncategorized
2834,01-08-2014,sliced cheese,Dairy
1561,15-05-2014,sugar,Dry Goods
1552,09-01-2014,rolls/buns,Bakery
3353,10-05-2014,soda,Beverages
1646,17-06-2014,white bread,Bakery
1554,31-01-2014,hygiene articles,Uncategorized
1622,17-05-2014,misc. beverages,Uncategorized
3575,03-05-2014,butter,Dairy
4396,20-03-2014,roll products ,Uncategorized
4858,14-01-2014,detergent,Household
1012,22-06-2014,frozen vegetables,Vegetables
4137,21-12-2014,fruit/vegetable juice,Fruits
1342,14-02-2014,napkins,Uncategorized
2573,21-01-2014,pastry,Bakery
4437,13-11-2014,other vegetables,Vegetables
2175,23-05-2014,pastry,Bakery
3879,18-08-2014,brown bread,Bakery
4378,05-10-2014,vinegar,Uncategorized
4721,01-07-2014,processed cheese,Dairy
2138,01-10-2014,bottled water,Beverages
4673,10-12-2014,bottled water,Beverages
1806,20-06-2014,whipped/sour cream,Dairy
2924,27-03-2014,sliced cheese,Dairy
4201,21-10-2014,rolls/buns,Bakery
2763,31-05-2014,shopping bags,Uncategorized
3101,21-05-2014,fruit/vegetable juice,Fruits
1235,26-05-2014,butter,Dairy
4715,04-09-2014,specialty fat,Uncategorized
4684,11-07-2014,oil,Uncategorized
4840,15-04-2014,whole milk,Dairy
3137,29-11-2014,newspapers,Uncategorized
2121,22-04-2014,soda,Beverages
3054,17-01-2014,semi-finished bread,Bakery
3156,02-01-2014,whipped/sour cream,Dairy
3965,21-09-2014,yogurt,Dairy
2011,20-01-2014,whipped/sour cream,Dairy
2184,19-05-2014,shopping bags,Uncategorized
3777,26-02-2014,waffles,Uncategorized
2199,30-01-2014,coffee,Beverages
1983,02-10-2014,margarine,Uncategorized
2806,21-01-2014,newspapers,Uncategorized
3657,28-07-2014,pastry,Bakery
1606,05-08-2014,butter,Dairy
4211,22-03-2014,rolls/buns,Bakery
3822,04-09-2014,frozen vegetables,Vegetables
2868,02-04-2014,soda,Beverages
4674,15-05-2014,dishes,Uncategorized
1130,18-08-2014,yogurt,Dairy
3530,18-06-2014,frozen meals,Frozen
1998,22-02-2014,whipped/sour cream,Dairy
1174,19-11-2014,baking powder,Uncategorized
1070,05-11-2014,cream cheese ,Dairy
1654,10-08-2014,cream cheese ,Dairy
4104,05-11-2014,domestic eggs,Uncategorized
3113,06-01-2014,hygiene articles,Uncategorized
3911,24-03-2014,mayonnaise,Condiments
1057,05-03-2014,salty snack,Snacks
1618,17-11-2014,cream cheese ,Dairy
3385,04-05-2014,UHT-milk,Dairy
3462,04-02-2014,pet care,Pet Supplies
1773,18-12-2014,bottled water,Beverages
4202,28-02-2014,popcorn,Uncategorized
2258,05-03-2014,yogurt,Dairy
3474,26-11-2014,newspapers,Uncategorized
2421,06-05-2014,other vegetables,Vegetables
3722,05-07-2014,butter,Dairy
4894,23-09-2014,dishes,Uncategorized
3514,23-07-2014,soda,Beverages
3807,02-03-2014,cat food,Pet Supplies
2660,20-03-2014,bottled water,Beverages
1419,17-05-2014,flour,Dry Goods
2271,30-09-2014,frozen dessert,Frozen
3188,08-05-2014,fruit/vegetable juice,Fruits
1598,25-04-2014,cream cheese ,Dairy
1337,06-08-2014,cling film/bags,Uncategorized
4740,10-10-2014,rolls/buns,Bakery
3275,04-12-2014,yogurt,Dairy
2832,30-05-2014,specialty chocolate,Snacks
1609,02-07-2014,soft cheese,Dairy
2627,17-05-2014,liquor (appetizer),Pet Supplies
4285,17-08-2014,pastry,Bakery
3418,27-11-2014,beverages,Uncategorized
4732,03-12-2014,soda,Beverages
3442,16-11-2014,canned fish,Seafood
3946,26-12-2014,salt,Dry Goods
2990,30-03-2014,rolls/buns,Bakery
3225,15-07-2014,bottled beer,Uncategorized
1494,23-11-2014,pip fruit,Fruits
3549,06-12-2014,frozen meals,Frozen
3384,23-09-2014,rolls/buns,Bakery
3746,03-01-2014,meat spreads,Uncategorized
3603,13-08-2014,white bread,Bakery
2120,30-05-2014,butter,Dairy
2065,20-10-2014,soda,Beverages
1285,27-10-2014,pastry,Bakery
3835,08-05-2014,pastry,Bakery
2160,15-01-2014,margarine,Uncategorized
4995,02-06-2014,mayonnaise,Condiments
1970,29-01-2014,citrus fruit,Fruits
2043,07-07-2014,shopping bags,Uncategorized
3487,09-01-2014,rolls/buns,Bakery
2524,17-10-2014,domestic eggs,Uncategorized
2045,10-02-2014,soda,Beverages
2445,31-05-2014,tropical fruit,Fruits
4616,31-01-2014,pastry,Bakery
2195,08-03-2014,canned beer,Canned Goods
1883,31-05-2014,dishes,Uncategorized
2083,21-10-2014,brown bread,Bakery
4576,21-11-2014,dessert,Uncategorized
4464,11-04-2014,oil,Uncategorized
3925,26-07-2014,bottled water,Beverages
4450,31-10-2014,bottled beer,Uncategorized
1059,11-06-2014,dessert,Uncategorized
4113,14-03-2014,root vegetables,Vegetables
4154,26-07-2014,frozen fish,Seafood
2490,19-04-2014,white bread,Bakery
1551,28-04-2014,mayonnaise,Condiments
1275,06-11-2014,rolls/buns,Bakery
3935,19-10-2014,rolls/buns,Bakery
3487,25-10-2014,pip fruit,Fruits
3986,08-09-2014,oil,Uncategorized
3282,26-10-2014,kitchen towels,Uncategorized
4488,20-10-2014,ice cream,Dairy
4946,03-04-2014,yogurt,Dairy
4081,16-04-2014,chocolate marshmallow,Snacks
1603,16-03-2014,flour,Dry Goods
1107,13-08-2014,whole milk,Dairy
2272,25-07-2014,yogurt,Dairy
4705,12-04-2014,female sanitary products,Uncategorized
1811,16-08-2014,long life bakery product,Uncategorized
2772,03-08-2014,whipped/sour cream,Dairy
4412,09-12-2014,specialty chocolate,Snacks
1219,02-10-2014,canned beer,Canned Goods
4435,17-10-2014,domestic eggs,Uncategorized
2715,28-01-2014,newspapers,Uncategorized
2121,03-11-2014,chocolate,Snacks
2802,27-04-2014,chocolate,Snacks
1741,19-07-2014,margarine,Uncategorized
4278,03-07-2014,soda,Beverages
1634,10-02-2014,fruit/vegetable juice,Fruits
3856,08-02-2014,yogurt,Dairy
3029,19-10-2014,vinegar,Uncategorized
3361,23-06-2014,softener,Uncategorized
4613,17-07-2014,fruit/vegetable juice,Fruits
1805,11-11-2014,soda,Beverages
2147,02-05-2014,soda,Beverages
1864,29-04-2014,domestic eggs,Uncategorized
2789,19-09-2014,flour,Dry Goods
2296,12-06-2014,domestic eggs,Uncategorized
1526,11-05-2014,sugar,Dry Goods
4951,10-05-2014,newspapers,Uncategorized
3809,11-05-2014,red/blush wine,Uncategorized
2685,06-12-2014,rolls/buns,Bakery
1107,22-07-2014,rolls/buns,Bakery
4264,20-07-2014,soft cheese,Dairy
4974,05-11-2014,root vegetables,Vegetables
1081,11-02-2014,beverages,Uncategorized
1111,07-05-2014,other vegetables,Vegetables
4683,30-06-2014,oil,Uncategorized
2835,21-11-2014,rolls/buns,Bakery
4123,07-07-2014,bottled water,Beverages
1613,02-08-2014,whole milk,Dairy
3361,14-01-2014,white wine,Uncategorized
3425,02-07-2014,pastry,Bakery
3617,02-08-2014,brown bread,Bakery
4669,05-08-2014,specialty chocolate,Snacks
1922,02-07-2014,bottled water,Beverages
2947,03-03-2014,bottled water,Beverages
3953,13-05-2014,red/blush wine,Uncategorized
1169,15-04-2014,napkins,Uncategorized
4192,17-02-2014,whole milk,Dairy
1239,02-08-2014,roll products ,Uncategorized
3041,18-02-2014,pastry,Bakery
2520,16-01-2014,canned fruit,Fruits
2426,12-09-2014,root vegetables,Vegetables
1235,05-11-2014,dog food,Pet Supplies
3799,17-09-2014,whipped/sour cream,Dairy
1124,05-03-2014,bottled beer,Uncategorized
3035,16-04-2014,male cosmetics,Uncategorized
4832,18-12-2014,specialty bar,Snacks
2394,24-02-2014,whipped/sour cream,Dairy
4185,20-11-2014,rolls/buns,Bakery
1832,01-09-2014,spread cheese,Dairy
2666,11-04-2014,frozen vegetables,Vegetables
4686,24-11-2014,whipped/sour cream,Dairy
2120,21-01-2014,soda,Beverages
1186,09-02-2014,soda,Beverages
2377,13-02-2014,pastry,Bakery
3675,13-07-2014,butter milk,Dairy
3466,31-05-2014,rolls/buns,Bakery
4211,02-05-2014,rolls/buns,Bakery
2832,04-08-2014,curd,Uncategorized
4811,12-09-2014,bottled water,Beverages
3619,21-12-2014,cat food,Pet Supplies
1722,13-10-2014,butter,Dairy
1681,20-04-2014,butter,Dairy
4097,14-07-2014,other vegetables,Vegetables
3878,19-04-2014,misc. beverages,Uncategorized
4983,21-06-2014,root vegetables,Vegetables
3100,11-08-2014,margarine,Uncategorized
1680,10-12-2014,specialty bar,Snacks
2041,10-09-2014,dessert,Uncategorized
3006,06-01-2014,waffles,Uncategorized
1445,23-01-2014,pip fruit,Fruits
2920,03-12-2014,canned beer,Canned Goods
3495,22-10-2014,domestic eggs,Uncategorized
4401,09-10-2014,bottled water,Beverages
1219,03-07-2014,red/blush wine,Uncategorized
4331,25-05-2014,coffee,Beverages
2881,01-06-2014,butter milk,Dairy
2475,02-01-2014,roll products ,Uncategorized
1171,04-09-2014,brown bread,Bakery
2137,19-01-2014,UHT-milk,Dairy
1180,02-02-2014,frozen potato products,Frozen
2679,14-11-2014,yogurt,Dairy
2025,04-09-2014,cat food,Pet Supplies
2394,20-05-2014,canned beer,Canned Goods
1472,05-11-2014,yogurt,Dairy
2197,06-07-2014,long life bakery product,Uncategorized
4824,19-06-2014,cream,Dairy
2322,19-01-2014,sweet spreads,Uncategorized
4639,22-11-2014,butter milk,Dairy
3544,13-07-2014,house keeping products,Uncategorized
1256,17-06-2014,tea,Beverages
2456,15-03-2014,pastry,Bakery
3728,28-10-2014,whipped/sour cream,Dairy
2619,12-01-2014,shopping bags,Uncategorized
1010,10-04-2014,kitchen towels,Uncategorized
4264,18-02-2014,newspapers,Uncategorized
2576,10-07-2014,napkins,Uncategorized
3718,30-03-2014,candles,Uncategorized
1950,11-10-2014,rolls/buns,Bakery
4520,01-03-2014,mustard,Condiments
1353,22-12-2014,whipped/sour cream,Dairy
4194,19-11-2014,pastry,Bakery
3095,26-11-2014,rolls/buns,Bakery
1130,01-11-2014,margarine,Uncategorized
4796,08-01-2014,curd,Uncategorized
2710,18-12-2014,soda,Beverages
3548,03-12-2014,other vegetables,Vegetables
3558,09-11-2014,canned fish,Seafood
4474,02-04-2014,butter milk,Dairy
3878,27-11-2014,frozen potato products,Frozen
1221,15-11-2014,sugar,Dry Goods
1009,24-01-2014,canned fish,Seafood
1169,05-06-2014,napkins,Uncategorized
3959,03-12-2014,sparkling wine,Uncategorized
2355,29-12-2014,whole milk,Dairy
2845,26-11-2014,sliced cheese,Dairy
2320,15-03-2014,newspapers,Uncategorized
4169,30-03-2014,frozen vegetables,Vegetables
4800,14-03-2014,soda,Beverages
3972,09-10-2014,soda,Beverages
4322,25-07-2014,misc. beverages,Uncategorized
3459,04-12-2014,white bread,Bakery
2654,07-04-2014,misc. beverages,Uncategorized
3113,11-10-2014,soda,Beverages
1456,26-05-2014,whipped/sour cream,Dairy
3947,05-12-2014,cocoa drinks,Uncategorized
2230,14-11-2014,processed cheese,Dairy
4133,04-08-2014,white wine,Uncategorized
1761,05-04-2014,shopping bags,Uncategorized
2958,11-03-2014,soda,Beverages
4923,03-04-2014,potato products,Uncategorized
4412,11-03-2014,root vegetables,Vegetables
3368,19-11-2014,white wine,Uncategorized
1307,03-10-2014,pastry,Bakery
4793,25-11-2014,bottled water,Beverages
1080,02-11-2014,canned beer,Canned Goods
4693,04-06-2014,bottled beer,Uncategorized
4167,28-08-2014,detergent,Household
3474,31-01-2014,fruit/vegetable juice,Fruits
3945,15-10-2014,margarine,Uncategorized
3499,14-10-2014,hard cheese,Dairy
1753,05-06-2014,cream cheese ,Dairy
2524,31-03-2014,rolls/buns,Bakery
1105,14-06-2014,other vegetables,Vegetables
2581,26-05-2014,bottled water,Beverages
3793,10-12-2014,canned fruit,Fruits
1690,30-05-2014,brown bread,Bakery
3496,20-12-2014,margarine,Uncategorized
4526,27-09-2014,sugar,Dry Goods
4129,02-04-2014,waffles,Uncategorized
1761,29-10-2014,pudding powder,Uncategorized
3498,16-08-2014,coffee,Beverages
2656,31-03-2014,margarine,Uncategorized
4262,03-03-2014,domestic eggs,Uncategorized
3289,24-01-2014,other vegetables,Vegetables
1679,23-10-2014,rolls/buns,Bakery
2594,06-01-2014,soft cheese,Dairy
4538,18-06-2014,coffee,Beverages
4941,25-10-2014,white bread,Bakery
4564,06-07-2014,shopping bags,Uncategorized
4290,04-09-2014,ice cream,Dairy
2202,02-01-2014,coffee,Beverages
2343,19-08-2014,candles,Uncategorized
2209,25-08-2014,napkins,Uncategorized
